Epoch:0129 train loss:1.158 acc:67.14 | val loss:1.198 acc:81.20
Epoch:0130 train loss:1.250 acc:54.29 | val loss:1.199 acc:81.00
Epoch:0131 train loss:1.133 acc:72.86 | val loss:1.200 acc:80.20
Epoch:0132 train loss:1.168 acc:67.86 | val loss:1.200 acc:80.00
Epoch:0133 train loss:1.180 acc:64.29 | val loss:1.199 acc:79.60
Epoch:0134 train loss:1.170 acc:64.29 | val loss:1.196 acc:80.00
Epoch:0135 train loss:1.178 acc:62.86 | val loss:1.190 acc:80.20
Epoch:0136 train loss:1.171 acc:67.14 | val loss:1.185 acc:80.80
Epoch:0137 train loss:1.231 acc:69.29 | val loss:1.181 acc:80.20
Epoch:0138 train loss:1.200 acc:64.29 | val loss:1.176 acc:79.80
Epoch:0139 train loss:1.127 acc:66.43 | val loss:1.174 acc:79.80
Epoch:0140 train loss:1.094 acc:70.00 | val loss:1.169 acc:80.20
Epoch:0141 train loss:1.159 acc:68.57 | val loss:1.165 acc:81.00
Epoch:0142 train loss:1.117 acc:67.86 | val loss:1.161 acc:81.60
Epoch:0143 train loss:1.092 acc:66.43 | val loss:1.158 acc:81.40
Epoch:0144 train loss:1.284 acc:66.43 | val loss:1.160 acc:81.00
Epoch:0145 train loss:1.164 acc:70.71 | val loss:1.163 acc:81.00
Epoch:0146 train loss:1.100 acc:67.86 | val loss:1.163 acc:80.80
Epoch:0147 train loss:1.131 acc:70.71 | val loss:1.164 acc:81.00
Epoch:0148 train loss:1.084 acc:72.86 | val loss:1.163 acc:81.20
Epoch:0149 train loss:1.069 acc:72.86 | val loss:1.161 acc:81.20
Epoch:0150 train loss:1.041 acc:73.57 | val loss:1.160 acc:80.60
Epoch:0151 train loss:1.109 acc:67.14 | val loss:1.158 acc:80.40
Epoch:0152 train loss:1.056 acc:72.86 | val loss:1.153 acc:81.00
Epoch:0153 train loss:1.140 acc:72.14 | val loss:1.149 acc:80.60
Epoch:0154 train loss:1.079 acc:74.29 | val loss:1.143 acc:80.80
Epoch:0155 train loss:1.066 acc:75.00 | val loss:1.134 acc:81.00
Epoch:0156 train loss:1.210 acc:65.00 | val loss:1.125 acc:81.00
Epoch:0157 train loss:1.088 acc:68.57 | val loss:1.119 acc:81.20
Epoch:0158 train loss:1.082 acc:70.00 | val loss:1.116 acc:81.20
Epoch:0159 train loss:0.956 acc:75.71 | val loss:1.113 acc:80.60
Epoch:0160 train loss:1.169 acc:65.00 | val loss:1.112 acc:80.60
Epoch:0161 train loss:1.072 acc:70.00 | val loss:1.110 acc:80.60
Epoch:0162 train loss:1.092 acc:72.14 | val loss:1.108 acc:80.80
Epoch:0163 train loss:1.083 acc:67.86 | val loss:1.105 acc:81.00
Epoch:0164 train loss:1.121 acc:66.43 | val loss:1.102 acc:81.20
Epoch:0165 train loss:1.085 acc:70.71 | val loss:1.101 acc:81.80
Epoch:0166 train loss:1.084 acc:65.71 | val loss:1.102 acc:81.60
Epoch:0167 train loss:1.141 acc:75.71 | val loss:1.104 acc:81.80
Epoch:0168 train loss:1.179 acc:71.43 | val loss:1.107 acc:81.40
Epoch:0169 train loss:1.155 acc:60.71 | val loss:1.110 acc:81.00
Epoch:0170 train loss:1.082 acc:67.86 | val loss:1.112 acc:81.00
Epoch:0171 train loss:1.039 acc:73.57 | val loss:1.114 acc:80.40
Epoch:0172 train loss:1.075 acc:70.00 | val loss:1.114 acc:80.60
Epoch:0173 train loss:1.061 acc:75.00 | val loss:1.112 acc:80.80
Epoch:0174 train loss:1.144 acc:66.43 | val loss:1.108 acc:80.60
Epoch:0175 train loss:1.074 acc:66.43 | val loss:1.103 acc:80.20
Epoch:0176 train loss:0.994 acc:70.00 | val loss:1.099 acc:80.20
Epoch:0177 train loss:0.974 acc:71.43 | val loss:1.097 acc:80.80
Epoch:0178 train loss:1.032 acc:65.71 | val loss:1.095 acc:81.20
Epoch:0179 train loss:1.091 acc:67.86 | val loss:1.092 acc:81.20
Epoch:0180 train loss:1.085 acc:69.29 | val loss:1.092 acc:81.40
Epoch:0181 train loss:1.128 acc:65.71 | val loss:1.093 acc:81.40
Epoch:0182 train loss:1.114 acc:73.57 | val loss:1.093 acc:81.00
Epoch:0183 train loss:1.009 acc:70.00 | val loss:1.092 acc:80.80
Epoch:0184 train loss:1.028 acc:73.57 | val loss:1.088 acc:80.80
Epoch:0185 train loss:1.054 acc:69.29 | val loss:1.085 acc:81.00
Epoch:0186 train loss:1.044 acc:68.57 | val loss:1.080 acc:81.20
Epoch:0187 train loss:1.008 acc:72.86 | val loss:1.075 acc:81.00
Epoch:0188 train loss:1.012 acc:71.43 | val loss:1.069 acc:81.40
Epoch:0189 train loss:1.009 acc:70.00 | val loss:1.065 acc:81.60
Epoch:0190 train loss:1.046 acc:70.71 | val loss:1.061 acc:81.80
Epoch:0191 train loss:1.038 acc:69.29 | val loss:1.058 acc:82.40
Epoch:0192 train loss:1.011 acc:74.29 | val loss:1.054 acc:82.00
Epoch:0193 train loss:0.988 acc:70.00 | val loss:1.050 acc:81.20
Epoch:0194 train loss:0.980 acc:72.86 | val loss:1.047 acc:80.60
Epoch:0195 train loss:1.081 acc:67.86 | val loss:1.049 acc:81.40
Epoch:0196 train loss:1.105 acc:73.57 | val loss:1.052 acc:80.80
Epoch:0197 train loss:1.067 acc:67.14 | val loss:1.054 acc:81.40
Epoch:0198 train loss:0.981 acc:72.86 | val loss:1.056 acc:81.20
Epoch:0199 train loss:1.002 acc:72.86 | val loss:1.057 acc:81.80
Epoch:0200 train loss:1.056 acc:67.14 | val loss:1.059 acc:81.40
Epoch:0201 train loss:1.051 acc:67.86 | val loss:1.059 acc:81.40
Epoch:0202 train loss:1.030 acc:67.14 | val loss:1.059 acc:81.00
Epoch:0203 train loss:1.086 acc:70.71 | val loss:1.057 acc:81.60
Epoch:0204 train loss:0.990 acc:71.43 | val loss:1.055 acc:81.80
Epoch:0205 train loss:0.999 acc:70.00 | val loss:1.053 acc:82.00
Epoch:0206 train loss:1.033 acc:75.71 | val loss:1.049 acc:81.20
Epoch:0207 train loss:1.053 acc:75.00 | val loss:1.046 acc:81.60
Epoch:0208 train loss:0.936 acc:74.29 | val loss:1.042 acc:81.60
Epoch:0209 train loss:0.962 acc:72.14 | val loss:1.039 acc:81.20
Epoch:0210 train loss:0.963 acc:77.86 | val loss:1.037 acc:81.20
Epoch:0211 train loss:0.985 acc:72.86 | val loss:1.035 acc:81.40
Epoch:0212 train loss:0.962 acc:73.57 | val loss:1.036 acc:80.80
Epoch:0213 train loss:0.995 acc:72.86 | val loss:1.035 acc:81.20
Epoch:0214 train loss:0.988 acc:71.43 | val loss:1.036 acc:81.20
Epoch:0215 train loss:0.948 acc:73.57 | val loss:1.035 acc:81.20
Epoch:0216 train loss:1.323 acc:73.57 | val loss:1.035 acc:81.00
Epoch:0217 train loss:0.957 acc:76.43 | val loss:1.030 acc:80.60
Epoch:0218 train loss:1.017 acc:67.86 | val loss:1.027 acc:80.60
Epoch:0219 train loss:0.949 acc:76.43 | val loss:1.024 acc:80.40
Epoch:0220 train loss:0.998 acc:78.57 | val loss:1.019 acc:80.20
Epoch:0221 train loss:0.980 acc:74.29 | val loss:1.017 acc:80.40
Epoch:0222 train loss:0.970 acc:72.86 | val loss:1.015 acc:81.40
Epoch:0223 train loss:1.014 acc:71.43 | val loss:1.013 acc:81.00
Epoch:0224 train loss:0.947 acc:73.57 | val loss:1.015 acc:81.60
Epoch:0225 train loss:0.908 acc:77.86 | val loss:1.017 acc:81.80
Epoch:0226 train loss:0.988 acc:69.29 | val loss:1.020 acc:81.80
Epoch:0227 train loss:0.964 acc:72.86 | val loss:1.024 acc:81.20
Epoch:0228 train loss:0.950 acc:70.00 | val loss:1.026 acc:81.00
Epoch:0229 train loss:0.946 acc:73.57 | val loss:1.027 acc:81.00
Epoch:0230 train loss:0.936 acc:73.57 | val loss:1.025 acc:81.00
Epoch:0231 train loss:1.031 acc:68.57 | val loss:1.024 acc:81.20
Epoch:0232 train loss:0.895 acc:77.14 | val loss:1.024 acc:81.20
Epoch:0233 train loss:0.947 acc:70.71 | val loss:1.024 acc:80.80
Epoch:0234 train loss:0.927 acc:76.43 | val loss:1.021 acc:80.60
Epoch:0235 train loss:0.972 acc:72.86 | val loss:1.022 acc:80.20
Epoch:0236 train loss:0.942 acc:77.86 | val loss:1.021 acc:80.20
Epoch:0237 train loss:0.928 acc:74.29 | val loss:1.019 acc:80.00
Epoch:0238 train loss:0.941 acc:72.86 | val loss:1.018 acc:80.00
Epoch:0239 train loss:0.926 acc:75.71 | val loss:1.015 acc:80.20
Epoch:0240 train loss:0.869 acc:76.43 | val loss:1.015 acc:80.80
Epoch:0241 train loss:1.045 acc:62.14 | val loss:1.015 acc:80.20
Epoch:0242 train loss:0.878 acc:76.43 | val loss:1.014 acc:80.20
Epoch:0243 train loss:0.981 acc:77.14 | val loss:1.011 acc:80.20
Epoch:0244 train loss:0.952 acc:75.00 | val loss:1.007 acc:80.80
Epoch:0245 train loss:1.186 acc:70.00 | val loss:1.003 acc:80.20
Epoch:0246 train loss:0.903 acc:75.71 | val loss:0.999 acc:80.20
Epoch:0247 train loss:0.915 acc:74.29 | val loss:0.994 acc:79.80
Epoch:0248 train loss:1.013 acc:70.71 | val loss:0.989 acc:80.20
Epoch:0249 train loss:0.971 acc:71.43 | val loss:0.984 acc:81.40
Epoch:0250 train loss:0.971 acc:72.86 | val loss:0.983 acc:82.20
Epoch:0251 train loss:0.943 acc:75.00 | val loss:0.981 acc:82.20
Epoch:0252 train loss:0.959 acc:73.57 | val loss:0.980 acc:82.20
Epoch:0253 train loss:0.936 acc:75.71 | val loss:0.982 acc:81.80
Epoch:0254 train loss:0.976 acc:74.29 | val loss:0.985 acc:82.60
Epoch:0255 train loss:0.960 acc:77.86 | val loss:0.988 acc:82.20
Epoch:0256 train loss:0.922 acc:70.71 | val loss:0.990 acc:81.80
Epoch:0257 train loss:0.967 acc:73.57 | val loss:0.991 acc:81.40
Epoch:0258 train loss:1.047 acc:70.71 | val loss:0.989 acc:81.60
Epoch:0259 train loss:0.860 acc:78.57 | val loss:0.989 acc:82.00
Epoch:0260 train loss:0.922 acc:74.29 | val loss:0.988 acc:81.80
Epoch:0261 train loss:0.999 acc:70.00 | val loss:0.989 acc:82.00
Epoch:0262 train loss:0.893 acc:82.14 | val loss:0.986 acc:82.40
Epoch:0263 train loss:0.900 acc:77.14 | val loss:0.982 acc:82.00
Epoch:0264 train loss:0.864 acc:75.00 | val loss:0.978 acc:82.40
Epoch:0265 train loss:0.902 acc:69.29 | val loss:0.976 acc:81.80
Epoch:0266 train loss:0.843 acc:75.00 | val loss:0.973 acc:81.80
Epoch:0267 train loss:0.921 acc:75.00 | val loss:0.972 acc:82.00
Epoch:0268 train loss:1.070 acc:67.14 | val loss:0.973 acc:81.80
Epoch:0269 train loss:0.917 acc:74.29 | val loss:0.974 acc:81.80
Epoch:0270 train loss:0.873 acc:80.00 | val loss:0.976 acc:81.60
Epoch:0271 train loss:0.876 acc:77.14 | val loss:0.977 acc:81.80
Epoch:0272 train loss:0.914 acc:74.29 | val loss:0.976 acc:81.80
Epoch:0273 train loss:0.985 acc:73.57 | val loss:0.973 acc:81.80
Epoch:0274 train loss:0.937 acc:75.00 | val loss:0.972 acc:81.60
Epoch:0275 train loss:1.002 acc:72.14 | val loss:0.970 acc:81.20
Epoch:0276 train loss:0.916 acc:75.00 | val loss:0.966 acc:81.20
Epoch:0277 train loss:0.911 acc:74.29 | val loss:0.962 acc:81.40
Epoch:0278 train loss:0.891 acc:78.57 | val loss:0.957 acc:81.60
Epoch:0279 train loss:0.841 acc:76.43 | val loss:0.953 acc:81.80
Epoch:0280 train loss:0.974 acc:75.00 | val loss:0.953 acc:82.20
Epoch:0281 train loss:0.877 acc:75.00 | val loss:0.957 acc:82.60
Epoch:0282 train loss:0.827 acc:75.71 | val loss:0.959 acc:82.20
Epoch:0283 train loss:1.040 acc:77.14 | val loss:0.963 acc:82.80
Epoch:0284 train loss:0.932 acc:75.00 | val loss:0.968 acc:82.60
Epoch:0285 train loss:0.857 acc:80.00 | val loss:0.973 acc:82.00
Epoch:0286 train loss:1.075 acc:70.00 | val loss:0.977 acc:81.80
Epoch:0287 train loss:0.973 acc:70.00 | val loss:0.980 acc:81.60
Epoch:0288 train loss:0.964 acc:76.43 | val loss:0.980 acc:81.20
Epoch:0289 train loss:0.888 acc:74.29 | val loss:0.979 acc:82.00
Epoch:0290 train loss:0.904 acc:75.00 | val loss:0.975 acc:82.20
Epoch:0291 train loss:1.069 acc:73.57 | val loss:0.970 acc:82.60
Epoch:0292 train loss:0.877 acc:73.57 | val loss:0.966 acc:82.80
Epoch:0293 train loss:0.973 acc:73.57 | val loss:0.963 acc:82.60
Epoch:0294 train loss:0.906 acc:75.71 | val loss:0.963 acc:82.80
Epoch:0295 train loss:0.867 acc:77.14 | val loss:0.965 acc:83.00
Epoch:0296 train loss:0.904 acc:76.43 | val loss:0.966 acc:82.20
Epoch:0297 train loss:0.898 acc:71.43 | val loss:0.966 acc:81.60
Epoch:0298 train loss:0.974 acc:70.71 | val loss:0.968 acc:81.20
Epoch:0299 train loss:1.110 acc:73.57 | val loss:0.968 acc:80.80
Epoch:0300 train loss:0.965 acc:77.14 | val loss:0.969 acc:81.20
Epoch:0301 train loss:0.823 acc:85.00 | val loss:0.969 acc:81.40
Epoch:0302 train loss:0.893 acc:76.43 | val loss:0.967 acc:81.60
Epoch:0303 train loss:0.869 acc:77.14 | val loss:0.965 acc:81.80
Epoch:0304 train loss:0.947 acc:74.29 | val loss:0.961 acc:82.00
Epoch:0305 train loss:0.832 acc:80.71 | val loss:0.958 acc:82.20
Epoch:0306 train loss:0.892 acc:76.43 | val loss:0.958 acc:82.60
Epoch:0307 train loss:0.900 acc:75.71 | val loss:0.959 acc:82.60
Epoch:0308 train loss:0.976 acc:70.00 | val loss:0.960 acc:82.60
Epoch:0309 train loss:0.938 acc:75.00 | val loss:0.962 acc:82.60
Epoch:0310 train loss:0.976 acc:72.14 | val loss:0.964 acc:82.60
Epoch:0311 train loss:0.933 acc:80.00 | val loss:0.963 acc:82.00
Epoch:0312 train loss:0.841 acc:78.57 | val loss:0.963 acc:81.80
Epoch:0313 train loss:0.947 acc:69.29 | val loss:0.963 acc:81.60
Epoch:0314 train loss:0.898 acc:71.43 | val loss:0.963 acc:81.40
Epoch:0315 train loss:1.050 acc:74.29 | val loss:0.964 acc:80.40
Epoch:0316 train loss:0.853 acc:72.86 | val loss:0.963 acc:80.40
Epoch:0317 train loss:0.952 acc:76.43 | val loss:0.959 acc:79.60
Epoch:0318 train loss:0.865 acc:75.00 | val loss:0.952 acc:80.40
Epoch:0319 train loss:0.847 acc:78.57 | val loss:0.945 acc:80.20
Epoch:0320 train loss:0.853 acc:72.14 | val loss:0.937 acc:80.80
Epoch:0321 train loss:1.001 acc:77.14 | val loss:0.932 acc:81.80
Epoch:0322 train loss:0.969 acc:72.14 | val loss:0.931 acc:82.00
Epoch:0323 train loss:0.888 acc:74.29 | val loss:0.931 acc:82.80
Epoch:0324 train loss:0.908 acc:65.00 | val loss:0.931 acc:83.00
Epoch:0325 train loss:0.836 acc:76.43 | val loss:0.934 acc:83.40
Epoch:0326 train loss:1.043 acc:75.00 | val loss:0.939 acc:82.60
Epoch:0327 train loss:0.856 acc:76.43 | val loss:0.941 acc:82.80
Epoch:0328 train loss:0.890 acc:75.71 | val loss:0.946 acc:82.80
Epoch:0329 train loss:0.951 acc:73.57 | val loss:0.951 acc:82.60
